"input","industry/01_Agriculture,forestry and fishery","industry/02_Mining","industry/03_Manufacturing","industry/04_Construction","industry/05_Electricity,gas and water supply","industry/06_Commerce","industry/07_Finance and insurance","industry/08_Real estate","industry/09_Transport and postal services","industry/10_Information and communication","industry/11_Public administration","industry/12_Services","industry/13_Activities not elsewhere classified","finaldemand/71_Consumption expenditure outside households (column)","finaldemand/72_Consumption expenditure (private)","finaldemand/73_Consumption expenditure of general government","finaldemand/74_Gross domestic fixed capital formation","finaldemand/76_Increase in stocks","finaldemand/77_Balancing sector","export/81_Exports total","import/84_(less) Imports","import/85_(less) Custom duties","import/86_(less) Commodity taxes on imported goods"
"industry/01_Agriculture,forestry and fishery",1456611000000,75000000,7793613000000,56940000000,0,8759000000,0,176000000,2137000000,0,1760000000,1360935000000,0,63419000000,3389053000000,0,168260000000,246810000000,2333000000,47890000000,-2403086000000,-37758000000,-121965000000
"industry/02_Mining",185000000,1467000000,16857977000000,326076000000,6905061000000,0,0,0,114000000,0,288000000,1153000000,455000000,-5385000000,-6104000000,0,-6977000000,-42044000000,1735000000,35575000000,-21672797000000,-7000000,-1636792000000
"industry/03_Manufacturing",2644966000000,67499000000,128796467000000,14427283000000,2267566000000,3078079000000,990737000000,195671000000,7050143000000,2300817000000,2621807000000,28693206000000,454846000000,1639119000000,55177632000000,242889000000,31026686000000,598327000000,1557187000000,54437698000000,-44158980000000,-794936000000,-3410203000000
"industry/04_Construction",70559000000,6089000000,1340627000000,74068000000,1179541000000,644813000000,188422000000,3155658000000,686950000000,322764000000,810258000000,1293478000000,0,0,0,0,42741258000000,0,0,0,0,0,0
"industry/05_Electricity,gas and water supply",129027000000,29518000000,5433465000000,279219000000,2867130000000,2104783000000,180997000000,420750000000,676682000000,399010000000,538470000000,4649129000000,64923000000,7892000000,8201914000000,-261415000000,0,0,0,35308000000,-2129000000,0,0
"industry/06_Commerce",659194000000,19228000000,16319996000000,3707597000000,398909000000,1925850000000,216723000000,113882000000,1325358000000,674557000000,507162000000,9410434000000,76141000000,1552393000000,43597219000000,9758000000,6388151000000,150652000000,0,7591509000000,-988900000000,0,0
"industry/07_Finance and insurance",70578000000,26912000000,1667186000000,705539000000,415849000000,1595778000000,2012259000000,5383055000000,995808000000,219677000000,1629212000000,1858021000000,24138000000,170000000,15558156000000,0,0,0,0,838222000000,-906647000000,0,0
"industry/08_Real estate",25452000000,7520000000,589990000000,243659000000,175158000000,3217378000000,631478000000,1561970000000,1016734000000,1214661000000,61246000000,2961078000000,195260000000,0,59204489000000,61313000000,0,0,0,21813000000,-1666000000,0,0
"industry/09_Transport and postal services",621420000000,194884000000,7634204000000,2238935000000,901224000000,5274310000000,1087032000000,175934000000,5126066000000,1166073000000,1358991000000,4930376000000,397540000000,399245000000,13784850000000,-53198000000,661230000000,37890000000,0,5759487000000,-3462459000000,0,0
"industry/10_Information and communication",40877000000,7791000000,1896955000000,473694000000,451138000000,3758528000000,1901761000000,287010000000,542574000000,7022394000000,1045584000000,7819100000000,212206000000,161417000000,12722940000000,35795000000,8217008000000,-11809000000,724000000,289726000000,-713235000000,0,-1921000000
"industry/11_Public administration",0,0,0,0,0,0,0,0,0,0,0,0,1136566000000,0,1115155000000,37153473000000,0,0,0,0,0,0,0
"industry/12_Services",317219000000,53084000000,18174564000000,5485985000000,3124101000000,7262084000000,3640919000000,2168719000000,6185168000000,8276338000000,3864610000000,21267108000000,449453000000,9815026000000,70057277000000,61547852000000,2188790000000,0,1334000000,1883659000000,-2804935000000,0,-124000000
"industry/13_Activities not elsewhere classified",161503000000,5797000000,832601000000,783322000000,109763000000,672799000000,126273000000,344572000000,373710000000,303169000000,33894000000,1279852000000,0,0,18864000000,0,0,0,0,3693000000,-39537000000,0,0
"valueadded/71_Consumption expenditure outside households (row)",75593000000,36509000000,3319819000000,969175000000,304990000000,2111244000000,952195000000,272111000000,823768000000,861457000000,397062000000,3493024000000,16349000000,,,,,,,,,,
"valueadded/91_Compensation of employees",1352308000000,143554000000,43270034000000,18409793000000,2498158000000,37017812000000,9836060000000,3947853000000,14100784000000,10647999000000,14501379000000,92516553000000,178736000000,,,,,,,,,,
"valueadded/92_Operating surplus",2857901000000,44464000000,7886224000000,1031445000000,-2386079000000,15042517000000,7138085000000,29708221000000,2228570000000,7885435000000,0,13887143000000,1482179000000,,,,,,,,,,
"valueadded/93_Consumption of fixed capital",1723077000000,74240000000,17789156000000,1654461000000,5669897000000,6512891000000,3493636000000,19495249000000,5328246000000,3978577000000,11910957000000,21802522000000,275048000000,,,,,,,,,,
"valueadded/94_Indirect taxes",524698000000,42295000000,10487200000000,1947017000000,1140534000000,3480106000000,545173000000,3998108000000,1996355000000,889480000000,122514000000,6714170000000,46459000000,,,,,,,,,,
"valueadded/95_(less) Current subsidies",-695206000000,-946000000,-185572000000,-299723000000,-268267000000,-51918000000,-847837000000,-41406000000,-225133000000,-2151000000,0,-979051000000,-24000000,,,,,,,,,,
